f_id,slogan
8367,"Parfois, la seule façon de faire respecter la justice... est d'enfreindre la loi."
8428,TALK HARD. STEAL THE AIR.
8446,Every year brings a great movie. Every decade a great movie musical!
8467,"Ce que le premier n'a pas, l'autre en manque"
8491,"Bernie may be dead, but he's still the life of the party!"
8536,L’aventure continue…
8592,Leur terrain. Leur jeu. Leurs règles. Ils ne comptaient pas sur SA loi...
8665,Fate has found its hero.
8736,"Prononcer ""DIQUENÈQUE"""
8764,Ne le dites à personne.
8810,Un seul homme peut faire la différence.
8839,"Si les fantômes existaient, ça se saurait..."
8844,"Dépêchez-vous, sinon le jeu l'emporte sur vous !"
8845,Ce n'est pas un travail... C'est une aventure !
8851,Indescriptible… Indestructible… Rien ne peut l'arrêter !
8852,Before man walked the earth... it slept for centuries. It is evil. It is real. It is awakening.
8856,"Cette fois, le combat est réel."
8867,"Si la société ne veut pas punir les coupables, il le fera."
8872,Mégateuf !
8963,Nous sommes ici pour préserver la démocratie et non l'appliquer
8984,"Le sexe, c'est le pouvoir"
8986,Vous ne pouvez pas vous lasser d'une bonne chose... Mais vous devez d'abord la trouver.
8987,Les vacances sont finies !
9037,C'est sympa
9040,Un policier incorruptible… est un danger pour les autres policiers.
9051,A temptingly tasteful comedy for adults who can count.
9061,"Sauver un innocent ou libérer un tueur, il n'a pas droit à l'erreur."
9064,Time to play.
9079,Elle lui a donné le plus important : une raison de vivre
9086,L'Ouest encore plus sauvage
9087,Pourquoi l'homme le plus puissant du monde ne peut-il pas avoir ce qu'il veut le plus ?
9089,Tout le monde n'a pas la chance d'être orphelin
9090,La nouvelle Drag Queen attitude.
9208,Préparez-vous à être soufflés.
9264,"Ce que veut Ivy, Ivy l'obtient."
9271,"Il a été conçu par SID 6.7, la terrifiante machine à tuer."
9272,Le diable a un visage : celui d'un ange.
9273,Haut les pattes et bas les Mask !
9277,…il suffit d'un peu de confiance.
9281,Un flic de la ville. Un gosse de la campagne. Ils n'ont rien en commun… Sauf un meurtre.
9292,Danger est son surnom
9312,Rien en ce monde ne vous y a préparé
9315,Panique en plein vol…
9319,Le but… survivre!
9326,On ne court pas dans la jungle en talons hauts.
9331,La vérité a besoin d'un soldat
9340,Prêtez serment et rejoignez l'aventure.
9348,Notre temps est écoulé.
9349,Les armes ultimes du futur viennent de se déclarer la guerre.
9350,Accrochez-vous.
9354,L’aventure la plus étonnante et innovante de tous les temps !
9355,Deux hommes entrent. Un homme sort.
9356,"Maintenant qu'il a une petite sœur, ils sont deux à dire ce qu'ils pensent."
9359,"Dans leurs mains, seul un jeu de cartes est plus dangereux qu'un revolver."
9361,Le premier héros américain.
9362,They say there's nothing new under the sun. But under the ground…
9366,L'histoire vraie d'un flic dans la Mafia.
9374,Dans un flacon magique… La fontaine de jouvence. Le secret de l'éternelle jeunesse. La puissance d'une potion ancestrale. Parfois ça marche… Parfois ça rate…
9377,Quand certains craquent… d'autres s’éclatent !
9378,Entrez. Vous êtes attendus.
9382,"Un film qui célèbre l'art de la survie, le don du rire et le miracle de l'amitié."
9387,Esclave. Guerrier. Héros.
9390,"Adoré par tous, puis ignoré, il revient pour gagner."
9394,Look out! Here comes Trinity...
9395,"Pour ce flic, personne n'est au-dessus de la loi."
9396,L’aventurier préféré du monde entier est de retour pour plus ! Beaucoup plus !
9399,Quand les rues sont une jungle... il ne peut y avoir qu'un seul roi.
9426,Be afraid. Be very afraid.
9428,Ils n'ont rien en commun… sauf leur nom !
9462,Une confrontation brutale et inhumaine à mort...
9474,"Personne, mais alors personne ne sait qui il est !"
9475,Le colonel Frank Slade a un plan très spécial pour le week-end !
9479,Son plus beau rêve sera votre pire cauchemar.
9481,Une seule façon de voir. Une seule façon de penser. Une seule façon d'agir. Ne faire qu'un avant la prochaine victime.
9482,Il est la loi.
9491,Être une femme  n'empêche pas de passer à l'action
9493,Seule leur mère peut les différencier.
9494,"Non seulement il parle, mais en plus il dit ce qu'il pense."
