id2,site_id,identifiant
9277,1,9277
9281,1,9281
9292,1,9292
9312,1,9312
9315,2,tt0408790
9315,1,9315
9315,5,Q638386
9317,1,9317
9319,1,9319
9326,2,tt0088011
9326,1,9326
9331,1,9331
9340,1,9340
9340,2,tt0089218
9343,5,Q698111
9343,2,tt0083946
9343,1,9343
9348,1,9348
9349,1,9349
9350,1,9350
9354,1,9354
9355,2,tt0089530
9355,1,9355
9356,1,9356
9359,1,9359
9361,1,9361
9361,5,Q144483
9361,2,tt0104691
9362,1,9362
9366,2,tt0119008
9366,5,Q738456
9366,1,9366
9374,1,9374
9377,1,9377
9378,1,9378
9378,2,tt0245674
9378,5,Q186864
9382,1,9382
9387,2,tt0082198
9387,1,9387
9390,1,9390
9390,2,tt0116695
9390,5,Q329131
9394,1,9394
9394,2,tt0067355
9395,1,9395
9396,1,9396
9399,1,9399
9411,1,9411
9411,2,tt0119099
9411,5,Q162225
9426,2,tt0091064
9426,1,9426
9428,5,Q935105
9428,2,tt0265666
9428,1,9428
9446,2,tt0119432
9446,1,9446
9446,5,Q777632
9462,1,9462
9474,1,9474
9475,1,9475
9479,1,9479
9481,1,9481
9481,2,tt0145681
9481,5,Q581178
9482,1,9482
9489,5,Q284229
9489,2,tt0128853
9489,1,9489
9491,1,9491
9493,1,9493
9493,2,tt0096320
9494,1,9494
9495,1,9495
9504,1,9504
9507,1,9507
9531,1,9531
9533,5,Q9125658
9533,2,tt0289765
9533,1,9533
9538,1,9538
9542,1,9542
9545,1,9545
9549,1,9549
9550,1,9550
9550,2,tt0385004
9550,5,Q369388
9552,1,9552
9556,1,9556
9558,1,9558
9559,1,9559
9560,1,9560
9569,1,9569
9570,1,9570
9571,1,9571
9574,2,tt0119137
9574,5,Q1325217
9574,1,9574
9576,1,9576
9586,1,9586
9587,1,9587
9588,1,9588
9589,1,9589
9591,2,tt0117887
9591,5,Q642410
9591,1,9591
9593,1,9593
9594,1,9594
9595,1,9595
9599,1,9599
9599,5,Q957844
9599,2,tt0094761
9602,1,9602
9603,1,9603
9604,1,9604
9607,1,9607
9610,1,9610
9610,2,tt0087078
9612,1,9612
9618,1,9618
9618,2,tt0098439
9626,1,9626
9626,2,tt0089893
9644,1,9644
9647,1,9647
9651,1,9651
9659,1,9659
9659,2,tt0079501
9663,1,9663
9665,1,9665
9671,1,9671
9671,2,tt0090555
9686,1,9686
9691,1,9691
9699,2,tt0084814
9699,1,9699
9699,5,Q1199530
9702,1,9702
9710,1,9710
9710,2,tt0092534
9717,1,9717
9739,1,9739
9740,2,tt0212985
9740,5,Q722682
9740,1,9740
9741,1,9741
9741,5,Q650613
9741,2,tt0217869
9748,1,9748
9749,1,9749
9754,1,9754
9754,5,Q549574
9754,2,tt0408345
9768,1,9768
9800,1,9800
9804,1,9804
9838,1,9838
9838,2,tt0089421
9846,1,9846
9869,1,9869
9869,2,tt0105112
9873,1,9873
9874,2,tt0090859
9874,1,9874
9876,1,9876
9882,2,tt0133952
9882,1,9882
9886,1,9886
9922,1,9922
9922,2,tt0119925
9930,1,9930
9941,1,9941
9942,1,9942
9944,1,9944
9952,5,Q180706
