film_id,titre,titre_original,annee,sortie,duree,franchise_id,pays
790,Fog,The Fog,1980,1980-02-08,89,,{us}
792,Platoon,,1986,1986-12-19,120,,"{gb,us}"
801,"Good Morning, Vietnam",,1987,1987-12-23,121,,{us}
805,Rosemary's Baby,,1968,1968-10-17,138,264338,{us}
807,Seven,Se7en,1995,1995-09-22,130,,{us}
813,Y a-t-il un pilote dans l'avion ?,Airplane!,1980,1980-07-02,88,91663,{us}
814,Le Loup-Garou de Londres,An American Werewolf in London,1981,1981-08-21,97,9380,"{gb,us}"
819,Sleepers,Sleepers,1996,1996-10-18,147,,{us}
820,JFK,,1991,1991-12-20,189,,"{fr,us}"
826,Le Pont de la rivière Kwaï,The Bridge on the River Kwai,1957,1957-10-11,160,,{gb}
829,Chinatown,,1974,1974-06-20,130,359005,{us}
830,Planète interdite,Forbidden Planet,1956,1956-03-23,99,,"{us,jp}"
834,Underworld 2 - Evolution,Underworld: Evolution,2006,2006-01-12,106,2326,"{us,ca,hu}"
837,Vidéodrome,Videodrome,1983,1983-02-04,88,,{ca}
838,Graffiti américain,American Graffiti,1973,1973-08-11,110,124950,{us}
840,Rencontres du troisième type,Close Encounters of the Third Kind,1977,1977-12-14,135,,{us}
841,Dune,,1984,1984-12-14,140,,{us}
847,Willow,,1988,1988-12-14,120,,{us}
849,Krull,,1983,1983-07-29,117,,"{es,gb,it,us}"
854,The Mask,,1994,1994-07-29,100,43072,{us}
856,Qui veut la peau de Roger Rabbit ?,Who Framed Roger Rabbit,1988,1988-06-21,103,,{us}
858,Nuits Blanches à Seattle,Sleepless in Seattle,1993,1993-06-24,105,,{us}
859,Les Liaisons dangereuses,Dangerous Liaisons,1988,1988-12-21,119,,"{gb,us}"
860,WarGames,,1983,1983-12-14,114,151263,{us}
861,Voyage au centre de la mémoire,Total Recall,1990,1990-10-17,113,,"{us,mx}"
865,Running Man,The Running Man,1987,1987-11-13,101,,{us}
867,Sliver,,1993,1993-05-21,107,,"{us,be}"
869,La Planète des singes,Planet of the Apes,2001,2001-07-25,120,,{us}
871,La Planète des singes,Planet of the Apes,1968,1968-02-07,112,1709,{us}
