id,site_id,identifiant
997cba12-b9a5-4cf7-8de8-b05326e8e25e,1,8399
05a69667-f2e5-43ff-ae07-6d236d3598b4,1,1229
40dad717-5fd0-427e-99dc-e07deeeb5be2,1,2876
30e140ad-88c1-47d0-84e2-3a70d8398692,1,38559
4ca6416d-39f3-46a2-923d-324edca6826a,1,1205
68f6758f-8b82-42fa-8fdb-9f2d6091ce1f,1,6352
03a05d00-9497-4207-adf4-f091f9c4e275,1,2453
92c335bb-8f13-4585-9f7a-44ce5dc39d5e,1,5005
ed0aea9c-e41b-4615-8eeb-e3e45e39273e,5,Q933856
413b9f05-c6c9-446b-b5eb-b335db3b56ae,1,7497
3dd71dbc-3fee-4e31-9d9e-411aa9ba5cb3,5,Q922779
9f01425b-2985-4ea6-a14e-ba80f02577ca,1,38901
9f01425b-2985-4ea6-a14e-ba80f02577ca,2,nm0545383
b1a20669-814f-49b8-9c32-440fd80e2f8f,1,12523
9be9571e-8750-4953-bd45-0aa6a3832317,1,113610
25cf9666-d675-4dc1-a8d7-52a20ae06463,1,57270
5742b9e6-e3ef-4a73-87d5-92910c8f8444,1,50949
28938581-a315-4bbf-901c-568ce241b5f0,5,Q456979
5be62d7b-3f6c-4c25-b9a1-008c8547140c,1,7017
654bb083-7bf4-41e8-8735-513bc4411518,1,95329
30a4380a-6db0-4a15-a197-f40ca61ef08d,1,9248
6c4c3135-8015-4eef-89a5-93607865b570,1,402272
0f260cbd-ff6c-4758-9254-7c765191c7a8,1,9181
901f8bf3-7390-4805-aeb7-1e925b89f722,1,15868
07ffeb45-d85a-4113-9125-3c4d10172ecc,1,2836
e0c0fade-0d44-4a0f-8f28-640cc0218e1e,1,11091
febde7c1-8c27-436c-bed8-a15178cfb959,1,66218
15be365c-c286-4270-9535-8d8c817260f7,1,228134
6015823e-ec82-4f77-8554-5af31a7fbb5a,5,Q291521
1f5030f4-c846-4ad7-bd38-0168127b9856,1,1245
b15bb7c5-f6d0-48eb-9a1e-703530203340,5,Q471018
2f9d0443-68a2-4662-b3a9-cd1ff4b36bc2,5,Q110374
695620ef-03a8-44d2-9fa2-966b9eeede41,5,Q260125
4cff1705-f3d7-4117-a214-bc538377328e,1,101330
b5c7ee6d-b5f6-4cde-a35d-82f0e27a402d,2,nm0814718
436b9127-6cb4-4e89-ad98-82a98f7e847b,5,Q119798
648d5457-9fd3-45f5-9bc3-34d482b72b9b,1,33161
e39e29cc-a2fa-4b9f-a19b-d3aea2267834,1,11192
c77dc6bf-2641-4c48-b5c7-dbacfac115ce,5,Q106365
b55b1525-2cbe-4723-bc8a-6a00ebf5c7dc,1,1339
eb641584-5d77-4e9d-a609-1283a8315c8f,2,nm0000245
3e48e998-80f3-4bc5-b2f5-091bb5b274ad,5,Q106204
29eb95b5-5be3-40db-82dd-bc9fb166d62e,5,Q186757
ee45c033-a2c5-4336-adaf-25b392fccb19,1,2090
46bb5915-5550-44a1-81db-e3927dbb7e38,1,94814
21c64182-ad5d-4207-adf5-6df21d1b7bc4,1,62
d9b975ba-5d65-4647-a184-f3acd9714a1a,2,nm0132064
86d6a3a7-0430-4792-a7d0-330ff726eab9,2,nm0001127
f89880cb-fc33-4dee-8de4-b4ed73317c1d,2,nm0001371
e3549ff3-722e-4e1f-a2c1-25dec8ec3882,1,73713
9755061a-f028-4311-bfd8-8776b20c5529,1,10222
1279ecc0-04a5-4828-bda9-46ac4c1a68fd,1,19632
725811e2-de20-4241-b231-df433dbebc89,2,nm0000293
42a016e2-fb7b-4e70-818b-68d36908fabe,1,44556
96e5581b-204b-4a16-9127-213adebfcc01,1,584
56cb06f7-5d07-4022-a787-86b747df618b,1,3203
833289e2-f083-4dba-afc8-cfe4dc6451a3,1,517
ceaaf88e-4230-4e25-8c5a-a9ba9044d584,2,nm0001638
c4d81e09-f457-4958-8794-3274d60b208a,5,Q165219
83943f92-9ea8-4c9a-aab1-f19453d110e9,1,957
49242460-8b4a-4e1c-b3a4-603c9bf705c7,5,Q693301
58bef111-8a6c-4b6f-a559-72ba1b01edea,1,228930
a6bc20c1-fd68-4fa7-868c-b8128fa3e697,5,Q2161692
e1c43c36-8aa2-41c8-8672-0eb61a597a6b,5,Q204336
e1c43c36-8aa2-41c8-8672-0eb61a597a6b,2,nm0644680
d599b1c1-2ffe-409b-8328-73c9741e083d,1,54918
f78a0adc-7cc6-492b-8e88-b252b247374e,5,Q230736
d70a44bc-01cb-4166-864a-3cc3c303ccf9,1,5047
dee592c1-a8fd-4dab-bc77-7991e42591a6,5,Q232902
d15126b3-d496-4dd8-9a1e-530666a282c8,1,18259
dbb64dbe-23db-433e-af34-1962bcc0068c,1,8944
afac7eba-30aa-418d-b845-178f91c4ea04,1,2165
622fcab8-4c5f-496e-abb8-4e76b8670e5a,1,194
bbfa0fb7-0e06-4a03-a8ab-10869a8e9e5c,1,25461
db7e4aca-fe37-47be-b5bb-dbfd9386fc8c,5,Q164119
c4c135ef-3b20-4647-8894-c56ee61e66c6,1,1223
6fe94357-6e04-4f94-a6a9-1cabc2cc1ee6,5,Q198638
e303c48d-32cf-4f00-b66d-dc1f01cd1d1c,1,28412
aa1551f5-dc8f-459c-8789-e030badce2c7,2,nm0001702
2a5194c2-d23f-40ed-9aa7-ea09e4814b7d,5,Q370918
f10e3ab8-5e38-4f0d-a5f2-e796de50cb60,1,19270
ee5ca5ed-86e9-4b58-b159-1b11efa273e2,1,82324
9eac8bad-c998-4e3f-9821-f2ce6c1a7053,1,34612
be35d246-44da-45f7-be0a-db86b1020482,5,Q468313
01beed03-b249-485d-89a7-bc379c0bd579,1,17140
c76830fe-bba5-4b0e-9af9-75380851d622,5,Q318088
8514437d-7d34-4127-b3c8-acbc25166476,5,Q314200
26be14f6-e7e5-46a7-bf38-d8614dbdd67b,2,nm0000291
74f66461-7f17-48cb-9c80-e3672813838f,2,nm0814773
13c26591-04f4-4835-a594-d1ce55e80a50,1,15397
62624cc6-60ba-40c4-8ccd-ccb69a8b9223,5,Q298276
82d8f85c-b980-4e36-ac48-22712fa7427c,1,85
fd93567f-8df7-47b0-924b-150a79065b71,1,64221
f8869b1b-e42c-439c-abee-2191c8ae185a,1,147
8da8b7cc-57e6-4fcc-be0b-19b364e0b72b,1,3085
e82dea08-7c73-4955-8937-a3fa39f2081a,2,nm0000353
29e13a88-bcb3-41de-b852-10ca8394cf2c,5,Q179414
c4b4ee4a-d3bf-4954-b6d6-f57dc71ee41d,5,Q639888
1df6da8b-2206-491f-97f1-76c793a42d37,1,4783
44300acc-7c79-4769-8529-0b6f4e83708c,5,Q329719
25ea1493-8d4e-485c-897b-4c1ca8e42f6f,1,2975
bd280de3-2180-45ac-9819-0b1a9dcb9ce7,2,nm0001154
5e38f055-0073-450d-a2ad-14fcfd5bc19f,2,nm0498876
1e5f3072-3480-440f-9c41-0cfd1d0be07c,5,Q150943
cc27938c-b0f3-4120-8b3c-0ed4b0328c1f,5,Q42930
3ecd6c0c-1d34-440d-8f98-d9c04abb7a12,1,70067
ca695ce5-064d-4ba6-b19b-595d82ce3d13,1,38225
ddc1ba58-fb70-4e4c-b076-f251dc6418ee,1,13548
6d9b26e6-e668-441b-80bc-36f1b8cb0e2d,2,nm0002340
4f1e41f1-080a-40c6-8e4c-653d0437a52b,2,nm0000553
2755c6f7-551a-4c38-82e4-ea589d347e1b,1,1090
a4b69f5f-d0f5-427c-8800-7cb683d320f7,1,41878
4609a4af-ff7d-4559-9e7c-5a166c74fab0,5,Q200768
6601846e-00a1-4d2c-ba44-67895feef8cd,5,Q109324
727fcc04-a57b-4779-b90d-8810ea9ed312,5,Q189400
89797198-6014-4d49-97e5-3392bbcfcf67,5,Q187364
148b791c-5cb3-4592-9af4-a0f6e85babeb,5,Q207852
314d4062-e9f6-428f-8ac6-51f9f62c4527,5,Q286890
f12a25e5-b6b1-48a0-9dd9-11510aa744ee,5,Q41351
3a630a33-22dc-44f7-afa6-31fd439ef0bd,1,4587
ba8301bf-3264-48fe-8805-49f1f74445ed,5,Q23301
8783a35c-79df-4149-a4fa-9f6177429a18,5,Q229137
60c0053e-b018-470a-96d2-8213c0c9b080,1,2130
995e16bb-d288-4b24-a355-b88763dfa1e6,1,8252
c4a869e0-c5e0-4234-827c-38ece6f6a8c5,1,3129
