personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
2fb37367-df7a-4196-8c59-ac052036dc2e,Damon,Matt,1970-10-08,,us,,97.844
12039ba3-f1de-4ce6-8290-c125cb220689,Gallone,Carmine,1886-09-10,1973-03-12,,,0
b01e7e3b-d31a-4a25-a7a9-02922116c610,Hooper,Tobe,1943-01-25,2017-08-26,,,0
71d017e0-f2a0-47aa-a64a-fc49366a6e89,Braverman,Charles,,,,,0
4529e955-6a5f-4b0f-8962-65d48dd77afa,Clark,Candy,1947-06-20,,,,19.679
774f839f-ca2d-4afc-98b9-9a571df90513,S.,David,1945-10-25,,,,0
c09a1131-9fde-4429-b769-efa57be89fa9,Winer,Harry,1947-05-04,,,,0
a176048e-158f-448d-9bc3-e564fc2d1666,Balmer,Jean-François,1946-04-18,,,,8.98
7679b6c7-9447-47de-a312-c7d3f06e5046,Hong,James,1929-02-22,,,,87.678
8ff9b1f5-edc9-47f3-aa3e-2e6f2470b4f5,Marceau,Sophie,1966-11-17,,,,27.578
5d63d9cb-39ae-4745-af0f-cf41729e5e1d,Snipes,Wesley,1962-07-31,,,,33.303
a2c8c647-37af-414f-b9ed-b7110ee51eb5,Semoun,Élie,1963-10-16,,,,1.96
734e6593-c6eb-40d9-8651-8e071599ad4e,Brown,Bryan,1947-06-23,,,,35.938
fc59fc53-f690-4b6e-a3af-f57a20063260,Glen,John,1921-07-18,2016-12-08,gb,,5.072
71120c4e-1d7d-4555-a8a9-088187ab65df,Griffith,Melanie,1957-08-09,,,,43.628
d42316a0-cb88-4fcd-863c-f2c2127f04d6,Buscemi,Steve,1957-12-13,,us,,44.404
8ca8fd66-25e2-40d4-8167-42f8106e7fcd,Hurt,John,1940-01-22,2017-01-25,,,15.006
f83b5489-8fe1-4a0d-854c-176d18455020,Streep,Meryl,1949-06-22,,us,,38.889
ee7f1acd-faa2-4066-8b4a-b4590fffcfd8,Giraud,Roland,1942-02-14,,fr,,3.18
dd079785-f297-4bd0-a0e0-55fa60b42aac,Bava,Lamberto,1944-04-03,,,,0
86d6a3a7-0430-4792-a7d0-330ff726eab9,Delany,Dana,1956-03-13,,,,31.973
e1c43c36-8aa2-41c8-8672-0eb61a597a6b,Ogier,Bulle,1939-08-09,,,,12.985
8c19b5cd-5a11-47d8-80a8-bc067cbfc0c7,McGillis,Kelly,1957-07-09,,us,,24.787
d3f92aa7-41ce-413c-87f0-b8d73e983c7e,Redford,Robert,1936-08-18,,,,50.612
a2cdab05-0f74-4341-a45f-60dff03d2634,Polanski,Roman,1933-08-18,,,,0
6af9d0ff-5ef4-4144-9f9a-3c5630427d28,Mortensen,Viggo,1958-10-20,,,,52.079
3fb2633e-4857-4d64-8876-763c5adb052c,Lavanant,Dominique,1944-05-24,,fr,,8.522
25ea1493-8d4e-485c-897b-4c1ca8e42f6f,Fishburne,Laurence,1961-07-30,,,,43.132
1e5f3072-3480-440f-9c41-0cfd1d0be07c,Hackman,Eugene Allen,1930-01-30,,us,Gene Hackman,26.747
bc666995-1136-4600-8c02-851ea0500d82,Phoenix,Joaquin,1974-10-28,,,,33.559
cc34b908-947c-499d-a95b-74a87436d2e0,Scott,Ridley,1937-11-30,,gb,,31.133
6b15885c-3e38-47e7-af07-382943278fe8,Stevens,Stella,1938-10-01,2023-02-17,,,17.663
adfaeeca-57af-4399-9d7a-b277a0b7dc94,Brolin,Josh,1968-02-12,,,,43.785
2c685f65-5ee4-4897-9c90-1a430e0452c9,Hunt,Helen,1963-06-15,,,,58.215
b5941bcc-474f-4a2d-a06f-ecec245ae802,Sheedy,Ally,1962-06-13,,,,22.952
6c4c5d89-aa5b-4f8b-a107-280fc99d3c9a,Lane,Diane,1965-01-22,,,,78.108
b59fe97a-50de-4df9-a650-6c25e6dbe179,Spade,David,1964-07-22,,,,36.52
8c3aaa6a-5294-4bc8-9d7b-d5389aaa13b3,Cassidy,Joanna,1945-08-02,,,,20.621
906e255b-6e5e-46d2-972e-766035e1d369,Tate,Sharon,1943-01-24,1969-08-09,us,,16.808
727fcc04-a57b-4779-b90d-8810ea9ed312,Shields,Brooke,1965-05-31,,,,33.012
52c92562-c0e4-45b2-a980-c3c81a3cef1c,Costner,Kevin,1955-01-18,,us,,62.788
f12a25e5-b6b1-48a0-9dd9-11510aa744ee,Foster,Jodie,1962-11-19,,us,,98.265
59200eec-107f-44b2-afc7-992ab94073ec,Shawn,Wallace,1943-11-12,,,,32.321
641bad3a-4947-4fb9-b3b8-771ecd760437,Burstyn,Ellen,1932-12-07,,,,23.888
8783a35c-79df-4149-a4fa-9f6177429a18,Allen,Karen,1951-10-05,,us,,45.409
972ce6ac-0335-415d-9e95-46a64b187348,Elliott,Sam,1944-08-09,,,,49.251
4c67645a-e060-42db-a1b0-b4a68e6c31ff,Emmet,M.,1935-03-22,2024-03-19,,,18.012
a8dd215c-c756-4adb-81eb-f751680a3b08,Pfeiffer,Michelle,1958-04-29,,us,,40.675
92426e8c-25a6-4b4b-9670-9ed0d8885ae1,Baldwin,Alec,1958-04-03,,,,34.581
9f5a44dc-9ecf-451e-9fef-a4dcc3cf294a,Farrow,Mia,1945-02-09,,us,,21.172
03a05d00-9497-4207-adf4-f091f9c4e275,Steenburgen,Mary,1953-02-08,,,,31.563
3f3c5a30-f335-4350-ab7c-945ff1d2a390,Walken,Christopher,1943-03-31,,,,32.022
65e94a1b-715d-4c52-be15-7bbab229dbc4,Baldwin,William,1963-02-21,,,,32.246
dd874ec3-cb95-47e7-a94c-4f048f0c8213,Berryman,Michael,1948-09-03,,,,15.279
1b399fb2-b4cf-4d79-ad90-e43790eea60f,Hood,Gavin,1963-05-12,,,,0
89abd682-f8ef-4a7a-87f4-01bd6b360495,Post,Ted,1918-03-31,2013-08-20,,,0
a48c15d1-d214-4bfc-9461-a0e9b2bb890c,Burns,Tim,,,,,0
ea5d905d-1657-4e89-b8e5-173ea29c960a,Ferris,Michael,1961-01-29,,,,0
79d66fb6-eeb3-467f-b148-30f66c9f855c,Donovan,Martin,,,,,0
6a3cab55-5500-4972-8129-d1f4fd6bc58d,Hyde,Chris,,,,,0
02cfd85f-9229-4c00-8af6-4200c81a6498,Reiff,Ethan,,,,,0
6310458e-db5a-475d-ad05-ff07e848cc48,Miller,Chris,,,,,0
d354ceba-6cd9-46a7-85e5-9ad8f60c28ed,S.,James,,,,,0
600080ed-b964-452b-b32e-f9aa80adff7c,Raimi,Sam,1959-10-23,,,,0
2b591cc4-2ca5-473c-95a6-27f93ca0a5f7,Russo,Daniel,1948-05-13,,fr,,4.843
70203d4e-c495-4240-aab9-e95766139314,Kennedy,Burt,1922-09-03,2001-02-15,,,0
3592b5b0-27ce-4aea-aec6-6276930a6455,Reiner,Rob,1947-03-06,,,,0
8700167e-a76b-47e4-aa2d-0d67ac1d52b0,Hatcher,Teri,1964-12-08,,,,23.101
7879bad9-57f3-44ed-9fab-d349ef8ef9bd,Ajvide,John,1968-12-02,,,,0
456de391-b9bd-452d-a6fc-6ba33b86011e,Mulligan,Robert,1925-08-23,2008-12-19,,,0
d3ec825c-4650-416c-80ec-dbc078f73c3c,Rash,Steve,,,,,0
d0311c5c-b92e-40b2-9f52-bf3294029eb9,Frears,Stephen,1941-06-20,,,,0
c3636c5e-8ded-4145-9e30-5a60f2dd96ab,Miller,Lee,,,,,0
c3035034-4b8a-4ae6-b134-303810d2c84f,Joel Osment,Haley,1988-04-10,,,,64.531
3f9f4467-4048-4559-b8eb-75a2b7be5864,Burtt,Ben,1948-07-12,,,,0
6c872791-0660-495a-8d7a-8911111e2256,Sturges,John,1910-01-03,1992-08-18,,,0
81c2e74e-9f69-47e4-a3df-184978a6ca24,Wayne,John,1907-05-26,1979-06-11,,,26.968
1c6243df-f751-4354-bf74-ad3b2c05b3d5,Rickman,Alan,1946-02-21,2016-01-14,,,42.16
11d4d7c6-5735-41dd-baf3-1309662b36b3,Boyd,Robert,,,,,0
3e8ca075-ceb7-4ead-826a-6709a8271ad5,Langella,Frank,1938-01-01,,,,25.029
cf9b8efc-5626-4a20-95a5-2fd4ca2246a7,Kaminka,Didier,1943-04-22,,,,0
740d308e-0a43-456f-8cbc-4b1597bc7427,Dvorsky,Peter,,,,,7.368
e0c0fade-0d44-4a0f-8f28-640cc0218e1e,Ratner,Brett,1969-03-28,,,,0
75d3c1de-8719-4b4a-87ed-1cb723cc8b6c,G.,Enzo,1938-07-29,,,,0
7e0b8dd2-573e-468e-a20b-e6cddc7a0a51,Lima,Kevin,,,,,0
f78e3665-e2be-4802-9f73-6eff4e181992,Higgins,Colin,1941-07-28,1988-08-05,,,0
febde7c1-8c27-436c-bed8-a15178cfb959,Flackett,Jennifer,,,,,0
095ba587-7f31-478c-ade6-c951eb2a33d5,Flender,Rodman,1962-06-09,,,,0
bc3dbb57-53af-4a74-b551-533b4ea40a66,L.,Barry,,,,,0
b37fd0df-fb30-4041-9066-906ad7d81e14,Bancroft,Anne,1931-09-17,2005-06-06,,,27.978
ba923f08-b5a2-4f3d-b5f2-84a00b4e415a,Noiret,Philippe,1930-10-01,2006-11-23,,,10.324
3ec35293-78a6-4315-a3ba-fb1a3081573a,Brody,Adrien,1973-04-14,,,,30.151
878ebe62-6108-414c-9c51-98b630a762fd,Henry,Buck,1930-12-09,2020-01-08,,,0
15be365c-c286-4270-9535-8d8c817260f7,Sanders,Rupert,1971-03-16,,,,0
63510ea9-ef85-4fb9-9659-4e412afc96ae,Carson,David,,,,,0
05c898dc-f491-4f6b-9bfe-e917b9f274e5,LoCash,Robert,,,,,0
08addad8-33be-4923-a1af-4c0a63260d62,Delilez,Manuel,,,,,0
80a3edc0-034a-495d-a125-7d2e5699323f,Leguay,Jean-Claude,,,,,3.95
b5b8a16a-0f4e-46d8-b282-cb6e9c1e6e1a,Carrey,Jim,1962-01-17,,,,73.772
7a4f783e-fb23-4259-8071-e6fade7e3430,Crichton,Charles,1910-08-06,1999-09-14,,,0
c86f40e0-a9ea-436f-8834-f07b87b145d1,Villalonga,Marthe,1932-03-20,,,,5.234
