id,serie,n,album,,pages
,12,17,El Padre,1981,
,12,18,Blue Retro,1981,
,12,19,Le David,1982,
,12,20,Black Face,1983,
,12,21,Les cinq salopards,1984,
,12,22,Des bleus et des dentelles,1985,
,12,23,Les cousins d'en face,1985,
,12,24,Baby blue,1986,
,12,25,Des bleus et des bosses,1986,
,12,26,L'or du Québec,1987,
,12,27,Bull Run,1987,
,12,28,Les bleus de la balle,1988,
,12,29,En avant l'amnésique !,1989,
,12,30,La rose de Bantry,1989,
,12,31,Drummer Boy,1990,
,12,32,Les bleus en folie,1991,
,12,33,Grumbler et fils,1992,
,12,34,Vertes années,1992,
,12,35,Captain Nepel,1993,
,12,36,Quantrill,1994,
,12,37,Duel dans la manche,1995,
,12,38,Les planqués,1996,
,12,39,Puppet blues,1997,
,12,40,Les hommes de paille,1998,
,12,41,Les bleus en cavale,1998,
,12,42,Qui veut la peau du Général ?,1999,
,12,43,Des bleus et du blues,2000,
,12,44,L'oreille de Lincoln,2001,
,12,45,Émeutes à New York,2002,
,12,46,Requiem pour un Bleu,2003,
,12,47,Les Nancy Hart,2004,
,12,48,Arabesque,2005,
,12,49,Mariage à Fort Bow,2005,
,12,50,La traque,2006,
,12,51,Stark sous toutes les coutures,2007,
,12,52,Des bleus dans le brouillard,2008,
,12,53,Sang bleu chez les Bleus,2009,
,12,54,Miss Walker,2010,
,12,55,"Indien, mon frère",2011,
,12,56,Dent pour dent,2012,
,12,57,Colorado story,2013,
,12,58,Les bleus se mettent au vert,2014,
,12,59,Les quatre évangélistes,2015,
,12,60,Carte blanche pour un Bleu,2016,
,12,61,L'étrange soldat Franklin,2017,
,12,62,Sallie,2018,
,12,63,La bataille du Cratère,2019,
,12,64,Où est donc Arabesque ?,2021,
,12,65,L'Envoyé spécial,2020,
,12,66,Irish Melody,2022,
,12,67,Du feu sur la glace,2023,
,12,68,De l'or pour les bleus,2024,
,13,0,Premiers pas,1984,
,13,1,Plus on est de fous...,1979,
,13,2,Le fond de l'air est bête,1979,
,13,3,Ça va chez vous ?,1980,
,13,4,Loin du Tyrol,1980,
,13,5,Dites-le avec des gags,1981,
,13,6,Merci d'être venu !,1982,
,13,7,La promenade des Anglais,1983,
,13,8,"Dur, dur !",1983,
,13,9,Histoires sans histoires,1984,
