code,num4217,nom,format,change,date,creation,disparition,division,minor
UGX,,Shilling ougandais,#,2237.46000,,,,,
USD,840,Dollar des Etats-Unis,$#,###.##,1.41740,2011-08-14,,,100 cents,
UYU,858,Nouveau peso uruguaien,$#.###,##,32.48220,,,,100 centésimos,
UZS,860,Sum dOuzbekistan,#,1382.73000,,,,,
VAL,,Lire du Vatican,#,1936.27000,1998-12-31,,1998-12-31,,
VEB,,Bolivar vénézuelien,Bs. #.###,##,2495.03000,,,,100 céntimos,
VND,704,Dông vietnamien,#.### Dong,20533.30000,,,,10 h? o - 100 xu,
VUV,548,Vatu du vanuatu,#,###VT,139.80200,,,,100 centimes,
WST,882,Tala,#,3.48847,,,,,
XAF,950,Franc CFA,#,655.95700,,,,,
XAG,,Once dargent,#,0.24802,,,,,
XAU,,Once dor,#,0.00327,,,,,
XCD,951,Dollar des Caraïbes de lEst,$#,###.##,3.49278,,,,,
XDR,,International Monetary Fund,#,0.81343,,,,,
XEU,,ECU européen (European Currency Unit),#,1.00000,1998-12-31,,1998-12-31,,
XOF,952,Franc CFA Ouest,#,655.95700,,,,,
XPD,,Once de palladium,#,0.00644,,,,,
XPF,953,Franc CFP,#,119.25200,,,,,
XPT,,Once de platine,#,0.00172,,,,,
YER,886,Riyal du Yemen,#,236.45600,,,,40 bugshas,
YUM,,Dinar yougoslave,#,62.85730,,,,,
ZAR,710,Rand sud-africain,#,7.75440,,,,100 cents,
ZMK,894,Kwacha Zambien,#,5952.69000,,,,100 ngwee,
ZRN,,Nouveau Zaïre,#,0.00000,,,,,
ZWD,716,Dollar du Zimbabwe,Z$# ###.##,7159.23000,,,,100 cents,,
