"edition_id","editeur_id","isbn13","publication_date","num_pages","num_catalogue","langue_code","titre"
278,873,"9780060572150",2005-04-05,257,,eng,
279,882,"9780060572341",2014-02-18,192,,eng,
280,907,"9780060572969",2004-07-01,416,,en-US,
281,907,"9780060572976",2005-01-25,453,,eng,
282,907,"9780060572990",2005-06-28,501,,eng,
283,872,"9780060574215",2012-04-03,368,,eng,
284,645,"9780060575816",2004-08-17,311,,en-US,
285,606,"9780060577049",2006-01-03,288,,eng,
286,160,"9780060578114",2005-09-27,385,,eng,
287,160,"9780060578121",2006-10-01,375,,eng,
288,1038,"9780060580339",2004-04-27,416,,en-US,
289,882,"9780060580810",2006-05-02,40,,eng,
290,160,"9780060581060",2005-03-29,280,,eng,
291,872,"9780060582500",2006-09-05,448,,en-US,
292,696,"9780060582548",2004-01-20,5,,eng,
293,2210,"9780060583316",2015-05-26,384,,en-US,
294,907,"9780060584023",2005-09-27,374,,eng,
295,882,"9780060584030",2006-10-03,312,,eng,
296,160,"9780060584085",2006-02-28,372,,eng,
297,2210,"9780060584757",2001-02-01,416,,eng,
298,873,"9780060586379",2004-08-31,848,,en-US,
299,877,"9780060586546",2004-03-02,512,,eng,
300,909,"9780060586904",2006-09-01,352,,eng,
301,882,"9780060587031",2006-09-26,64,,en-US,
302,907,"9780060589462",2006-04-25,540,,eng,
303,642,"9780060590154",2004-09-28,176,,eng,
304,2204,"9780060590277",2006-03-21,387,,en-US,
305,2204,"9780060590291",2007-01-16,328,,eng,
306,886,"9780060591717",2004-09-07,432,,spa,
307,888,"9780060593087",2004-09-21,927,,eng,
308,160,"9780060593193",2005-05-24,384,,eng,
309,160,"9780060593209",2005-10-25,384,,eng,
310,873,"9780060593247",2006-12-12,400,,eng,
311,160,"9780060593636",2005-03-01,384,,eng,
312,905,"9780060594343",2004-07-06,240,,en-US,
313,905,"9780060594350",2004-07-06,304,,en-US,
314,873,"9780060594527",2004-06-15,241,,eng,
315,877,"9780060595180",2004-05-04,187,,eng,
316,160,"9780060595364",2004-08-31,384,,eng,
317,882,"9780060596385",2006-09-26,569,,eng,
318,873,"9780060598617",2004-06-15,400,,eng,
319,907,"9780060598808",2006-10-31,228,,eng,
320,907,"9780060598822",2005-11-29,219,,eng,
321,907,"9780060598846",2005-02-01,244,,eng,
322,864,"9780060598853",2014-02-25,234,,eng,
323,907,"9780060598877",2006-07-25,234,,eng,
324,864,"9780060598891",2011-11-29,249,,eng,
325,143,"9780060598969",2005-05-31,188,,eng,
326,642,"9780060598976",2006-10-17,256,,eng,
327,898,"9780060609177",2015-04-07,160,,en-US,
328,898,"9780060609191",2015-04-07,321,,en-US,
329,898,"9780060622138",2009-09-29,272,,eng,
330,898,"9780060645892",2002-08-20,256,,eng,
331,898,"9780060652852",1996-01-05,176,,eng,
332,882,"9780060652890",2001-03-06,224,,eng,
333,898,"9780060652920",2015-04-21,227,,eng,
334,898,"9780060667412",1995-06-28,192,,eng,
335,898,"9780060677015",1997-05-09,272,,eng,
336,873,"9780060722296",2005-08-02,512,,eng,
337,873,"9780060723514",2004-05-25,187,,eng,
338,2204,"9780060723934",2007-07-24,288,,en-US,
339,2204,"9780060724290",2007-01-23,512,,eng,
340,889,"9780060724504",2005-08-01,238,,eng,
341,882,"9780060724917",2006-02-07,352,,eng,
342,882,"9780060725143",2004-12-28,316,,eng,
343,877,"9780060726461",2004-07-06,768,,eng,
344,898,"9780060727536",2003-10-07,310,,eng,
345,898,"9780060727635",2004-06-29,1072,,eng,
346,873,"9780060730550",2004-02-03,218,,eng,
347,898,"9780060730673",2004-12-14,256,,eng,
348,907,"9780060731250",2005-03-01,304,,eng,
349,2204,"9780060731304",2006-05-09,456,,eng,
350,907,"9780060731434",2005-07-26,311,,eng,
351,907,"9780060731441",2005-10-25,384,,eng,
