oeuvre_id,titre,langue_code,genre_id,infos
420,Essays and Stories by Marian Keyes: Bags  Trips  Make-up Tips  Charity  Glory  and the Darker Side of the Story,eng,,
421,Sleep  Pale Sister,en-US,,
422,Zorro,eng,,
423,A Fistful of Charms (The Hollows),eng,,"{""tome"":""4""}"
424,For a Few Demons More (The Hollows),eng,,"{""tome"":""5""}"
425,Dubliners,eng,,
426,The Mysteries of Pittsburgh,eng,,
427,The Patricia Cornwell CD Audio Treasury: All That Remains / Cruel & Unusual (Kay Scarpetta #3),eng,,"{""tome"":""4""}"
428,Everything Is Illuminated,eng,,
429,Flight of the Nighthawks (The Darkwar Saga #1),en-US,,
430,Into a Dark Realm (The Darkwar Saga),eng,,"{""tome"":""2""}"
431,The 3-Hour Diet: On the Go,en-US,,
432,Lost in the City,eng,,
433,Focus: The Future of Your Company Depends on It,eng,,
434,The Best American Crime Writing 2006,eng,,
435,El bosque de los pigmeos,spa,,
436,Missing Mom,eng,,
437,The Collected Letters of C.S. Lewis  Volume 3: Narnia  Cambridge  and Joy  1950 - 1963,eng,,
438,Touch Not the Cat,eng,,
439,Oracle Bones: A Journey Between China's Past and Present,eng,,
440,Great Short Works,en-US,,
441,The Zahir,eng,,
442,Odalisque (The Baroque Cycle  Vol. 1  Book 3),en-US,,
443,Warrior Angel,en-US,,
444,Black Boy,en-US,,
445,The Sheltering Sky,eng,,
446,The King of Attolia (The Queen's Thief),eng,,"{""tome"":""3""}"
447,Rat Bastards: The Life and Times of South Boston's Most Honorable Irish Mobster,eng,,
448,The Last Days of Henry VIII,eng,,
449,The Thorn Birds,eng,,
450,Native Son,eng,,
451,Fast Food Nation: The Dark Side of the All-American Meal,eng,,
452,Krakatoa: The Day the World Exploded: August 27  1883,eng,,
453,Walking the Bible: A Journey by Land Through the Five Books of Moses,eng,,
454,A People's History of the United States,eng,,
455,Bel Canto,eng,,
456,Ahab's Wife  or The Star-Gazer,eng,,
457,Hit Parade (John Keller),eng,,"{""tome"":""3""}"
458,The Queen of Attolia (The Queen's Thief),eng,,"{""tome"":""2""}"
459,The Curtain: An Essay in Seven Parts,eng,,
460,Instead of Three Wishes,eng,,
461,Red Herrings and White Elephants: The Origins of the Phrases We Use Every Day,en-US,,
462,A Hard Day's Write: The Stories Behind Every Beatles Song,eng,,
463,The Lion  the Witch and the Wardrobe (Narnia),en-US,,
464,The Mambo Kings Play Songs of Love,en-US,,
465,Ya Sé Que Te Quiero,spa,,
466,Sex with the Queen: 900 Years of Vile Kings  Virile Lovers  and Passionate Politics,en-US,,
467,The Bush Agenda: Invading the World  One Economy at a Time,eng,,
468,Valentine Princess (The Princess Diaries #7.75),eng,,
469,Brave New World,eng,,
470,Back to Wando Passo,en-US,,
471,Queen of Babble (Queen of Babble),eng,,"{""tome"":""1""}"
472,Animal  Vegetable  Miracle: A Year of Food Life,eng,,
473,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch,eng,,
474,Dates from Hell,eng,,
475,Continental Drift,eng,,
476,Equal Rites (Discworld #3; Witches),eng,,"{""tome"":""1""}"
477,The Color of Magic (Discworld #1; Rincewind),eng,,"{""tome"":""1""}"
478,First They Killed My Father: A Daughter of Cambodia Remembers,eng,,
479,The Homecoming,en-US,,
480,The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr #7),en-US,,
481,Next,eng,,
482,Missing You (1-800-Where-R-You),eng,,"{""tome"":""5""}"
483,Lullabies for Little Criminals,eng,,
484,Poor People,eng,,
485,How to Be Popular,eng,,
486,Blue Angel,eng,,
487,The Annotated Charlotte's Web,eng,,
488,Charlotte's Web,en-US,,
489,A Little Bit Wicked (Last Man Standing),eng,,"{""tome"":""1""}"
490,Charlotte's Web: Wilbur Finds a Friend,eng,,
491,The Autumn of the Patriarch,eng,,
492,How to Make Money Like a Porn Star,en-US,,
493,Little House in the Big Woods (Little House),eng,,"{""tome"":""1""}"
494,Farmer Boy (Little House),eng,,"{""tome"":""2""}"
495,Little House on the Prairie (Little House),eng,,"{""tome"":""3""}"
496,The Long Winter (Little House),eng,,"{""tome"":""6""}"
497,Little Town on the Prairie  (Little House),eng,,"{""tome"":""7""}"
498,The First Four Years  (Little House),eng,,"{""tome"":""9""}"
499,Laura Ingalls Wilder: A Biography,eng,,
500,Dumpy's Valentine,eng,,
501,The Alchemist,eng,,
502,To Kill a Mockingbird,eng,,
503,Wintersmith (Discworld #35; Tiffany Aching),eng,,"{""tome"":""3""}"
504,Mariel Hemingway's Healthy Living from the Inside Out: Every Woman's Guide to Real Beauty  Renewed Energy  and a Radiant Life,eng,,
