edition_id,editeur_id,isbn13,publication_date,num_pages,num_catalogue,langue_code,titre,infos
7408,360,9780785819110,2004-05-01,703,,eng,The Origin of Species,
7409,378,9780785821083,2008-05-15,372,,eng,Winchester Shotguns,
7410,744,9780785930730,2001-01-01,209,,fre,La Dernière Leçon,
7411,742,9780785950103,1990-01-01,448,,spa,Cien años de soledad,
7412,743,9780785990239,2005-10-01,182,,fre,Kiffe Kiffe Demain (French Edition),
7413,1542,9780786000234,1994-06-01,446,,eng,Dazzling Brightness (Greek Myths),
7414,1542,9780786011896,2001-01-01,416,,eng,Dead Of Winter (Louis Kincaid),
7415,1542,9780786014200,2003-01-01,380,,eng,Thicker Than Water (Louis Kincaid),
7416,1542,9780786015412,2003-08-01,288,,eng,The Sorority: Samantha (Sorority Trilogy),
7417,1542,9780786016051,2004-01-01,384,,eng,Island Of Bones (Louis Kincaid),
7418,1542,9780786016068,2005-02-01,383,,eng,A Killing Rain (Louis Kincaid),
7419,1542,9780786016075,2006-02-01,384,,eng,An Unquiet Grave (Louis Kincaid),
7420,271,9780786160440,2007-03-01,10,,en-US,A World Lit Only by Fire,
7421,271,9780786168477,2007-06-01,9,,eng,Howards End,
7422,1089,9780786169429,2006-04-01,3,,eng,Jean-Paul Sartre: (The Giants of Philosophy),
7423,271,9780786174362,2006-05-01,6,,eng,Mere Christianity: Abolition of Man (Bonus Feature),
7424,271,9780786176274,2005-11-01,5,,eng,Fahrenheit 451,
7425,271,9780786177288,1997-01-01,356,,eng,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,
7426,271,9780786177837,2005-10-01,10,,eng,The Ionian Mission (Aubrey/Maturin),
7427,271,9780786178186,2006-02-01,0,,en-GB,The Reverse of the Medal (Aubrey/Maturin #11),
7428,271,9780786179954,2005-10-01,10,,en-US,Charlie Wilson's War: The Extraordinary Story of the Largest Covert Operation in History,
7429,271,9780786180301,1998-12-01,8,,eng,Anne of Avonlea,
7430,271,9780786180400,1998-12-01,15,,eng,Dracula,
7431,272,9780786198382,2000-09-01,9,,eng,Till We Have Faces: A Myth Retold,
7432,1972,9780786222728,1999-11-12,424,,eng,Harry Potter and the Sorcerer's Stone,
7433,1971,9780786224692,2005-12-03,530,,eng,Nicolae (Left Behind),
7434,710,9780786229987,2001-01-07,256,,eng,Such a Good Girl and Other Crime Stories,
7435,1972,9780786282258,2006-01-06,483,,en-US,The Lightning Thief,
7436,1971,9780786282821,2006-04-12,238,,en-US,Ready or Not (All-American Girl #2),
7437,1230,9780786407804,2001-04-30,321,,eng,The War of the Worlds,
7438,549,9780786500734,1995-02-01,282,,eng,Something Borrowed,
7439,1241,9780786647972,2000-03-01,72,,eng,Deluxe Encyclopedia of Mandolin Chords,
7440,1731,9780786702275,1995-04-25,280,,en-US,Bad Dreams,
7441,356,9780786704545,1997-08-05,416,,eng,Marcel Proust: On Art and Literature 1896-1919,
7442,482,9780786706310,1999-07-15,224,,eng,One Hand Clapping,
7443,355,9780786706686,1999-12-20,144,,eng,The Burnt Orange Heresy,
7444,1731,9780786710652,2002-09-20,512,,eng,The Mammoth Book of Egyptian Whodunnits,
7445,356,9780786711642,2003-04-07,242,,eng,A Kiss Before Dying,
7446,482,9780786712342,2003-11-11,320,,eng,The Life of Sir Arthur Conan Doyle,
7447,356,9780786712946,2003-12-14,128,,eng,Rape: A Love Story,
7448,1731,9780786714001,2006-01-09,320,,en-US,The Ghosts in Baker Street: New Tales of Sherlock Holmes,
7449,1731,9780786714681,2004-10-04,512,,eng,The Mammoth Book of Storms  Shipwrecks and Sea Disasters,
7450,356,9780786714827,2004-12-21,154,,eng,Rape: A Love Story,
7451,1731,9780786714957,2005-02-15,498,,eng,The Mammoth Book of New Jules Verne Adventures: Return to the Center of the Earth and Other Extraordinary Voyages  New Tales by the Heirs of Jules Verne,
7452,356,9780786715794,2006-09-14,535,,eng,The Boys of Everest: Chris Bonington and the Tragedy of Climbing's Greatest Generation,
7453,482,9780786718610,2006-12-26,280,,eng,Lover of Unreason: Assia Wevill  Sylvia Plath's Rival and Ted Hughes' Doomed Love,
7454,1731,9780786719051,2007-01-24,512,,en-US,The Mammoth Book of Golden Age Science Fiction: Ten Classic Stories from the Birth of Modern Science Fiction Writing,
7455,1067,9780786806430,2002-12-23,32,,eng,Homemade Love,
7456,561,9780786808380,2002-04-02,20,,eng,Babies (Baby Einstein),
7457,1151,9780786809141,2005-04-26,32,,en-US,The Hello  Goodbye Window,
7458,1005,9780786809196,2006-04-01,268,,eng,Hollywood Hustle (Son of the Mob),
7459,1151,9780786809288,2003-09-01,112,,en-US,The One-Eyed Giant (Tales from the Odyssey #1),
7460,1151,9780786809295,2003-09-01,112,,eng,The Land of the Dead (Tales from the Odyssey),
7461,562,9780786809301,2003-08-18,112,,en-US,Sirens and Sea Monsters (Tales from the Odyssey #3),
7462,1151,9780786809318,2003-09-30,128,,en-US,The Gray-Eyed Goddess (Tales from the Odyssey #4),
7463,562,9780786809608,2005-09-01,283,,en-US,If I Have a Wicked Stepmother  Where's My Prince?,
7464,1151,9780786809936,2004-10-01,112,,eng,Return to Ithaca (Tales from the Odyssey),
7465,1151,9780786809943,2005-07-01,112,,en-US,The Final Battle (Tales from the Odyssey #6),
7466,562,9780786809967,2005-09-01,287,,eng,Be More Chill,
7467,1151,9780786811052,1995-04-01,185,,eng,Sparrow Hawk Red,
7468,1151,9780786812912,2002-09-01,48,,eng,The Big Box,
7469,1067,9780786813858,1999-09-15,132,,eng,Shop in the Name of Love (The Cheetah Girls),
7470,1151,9780786815937,2004-09-01,262,,eng,Son of the Mob (Son of the Mob),
7471,1271,9780786816156,2004-03-01,500,,eng,Summerland,
7472,2139,9780786817788,2004-04-05,24,,eng,Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,
7473,561,9780786818723,2003-11-01,10,,eng,Violet's House: A Giant Touch-and-Feel Book (Baby Einstein),
7474,1004,9780786819119,2003-09-01,10,,eng,Water  Water Everywhere: A Splash & Giggle Bath Book (Baby Einstein),
7475,1003,9780786837878,2006-07-15,557,,eng,Peter and the Shadow Thieves (Peter and the Starcatchers),
7476,560,9780786838653,2006-03-01,375,,eng,The Lightning Thief (Percy Jackson and the Olympians),
7477,1272,9780786838943,2006-10-15,410,,en-US,The King in the Window,
7478,561,9780786845033,2003-02-01,24,,eng,Tyrannosaurus Wrecks (Stanley),
